0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	5
85	12
86	12
87	10
88	10
89	11
90	7
91	17
92	17
93	5
94	14
95	15
96	19
97	10
98	8
99	8
100	8
101	8
102	17
103	16
104	7
105	8
106	12
107	6
108	9
109	12
110	12
111	9
112	14
113	12
114	9
115	14
116	14
117	13
118	8
119	14
120	13
121	13
122	8
123	10
124	14
125	11
126	13
127	7
128	9
129	15
130	8
131	11
132	11
133	9
134	16
135	12
136	15
137	16
138	12
139	10
140	17
141	17
142	9
143	18
144	6
145	9
146	12
147	11
148	9
149	11
150	19
151	16
152	15
153	6
154	13
155	12
156	8
157	7
158	11
159	9
160	8
161	9
162	17
163	9
164	10
165	15
166	18
167	9
168	15
169	12
170	12
171	7
172	9
173	17
174	12
175	20
176	10
177	14
178	11
179	13
180	13
181	12
182	13
183	7
184	17
185	11
186	13
187	10
188	17
189	11
190	8
191	15
192	14
193	19
194	10
195	18
196	13
197	15
198	9
199	13
200	13
201	8
202	12
203	14
204	14
205	19
206	10
207	13
208	11
209	14
210	12
211	12
212	16
213	10
214	13
215	8
216	12
217	13
218	13
219	13
220	15
221	16
222	12
223	14
224	13
225	18
226	19
227	10
228	12
229	18
230	10
231	14
232	16
233	15
234	15
235	9
236	12
237	13
238	13
239	12
240	6
241	14
242	12
243	15
244	8
245	14
246	10
247	14
248	17
249	9
250	8
251	9
252	16
253	17
254	11
255	8
256	19
257	16
258	18
259	16
260	15
261	17
262	14
263	11
264	11
265	8
266	10
267	19
268	17
269	11
270	12
271	10
272	20
273	17
274	8
275	7
276	13
277	13
278	16
279	23
280	16
281	19
282	17
283	14
284	11
285	13
286	17
287	17
288	21
289	16
290	13
291	9
292	12
293	19
294	11
295	11
296	15
297	16
298	15
299	12
300	14
301	13
302	21
303	12
304	17
305	13
306	12
307	20
308	22
309	14
310	9
311	17
312	17
313	20
314	13
315	17
316	21
317	12
318	15
319	19
320	15
321	20
322	10
323	15
324	18
325	16
326	16
327	16
328	15
329	19
330	19
331	14
332	17
333	14
334	16
335	12
336	14
337	15
338	19
339	16
340	8
341	17
342	9
343	13
344	15
345	14
346	11
347	13
348	22
349	18
350	10
351	9
352	12
353	22
354	12
355	20
356	14
357	14
358	12
359	15
360	18
361	11
362	13
363	18
364	19
365	10
366	18
367	19
368	17
369	27
370	16
371	18
372	11
373	21
374	23
375	18
376	12
377	15
378	13
379	21
380	11
381	12
382	12
383	14
384	14
385	14
386	17
387	16
388	19
389	9
390	17
391	14
392	14
393	23
394	20
395	14
396	14
397	18
398	16
399	16
400	14
401	8
402	18
403	12
404	18
405	22
406	17
407	17
408	21
409	15
410	24
411	8
412	16
413	18
414	12
415	16
416	14
417	12
418	13
419	21
420	16
421	17
422	31
423	14
424	16
425	15
426	21
427	17
428	16
429	19
430	12
431	18
432	25
433	17
434	20
435	20
436	23
437	12
438	15
439	20
440	21
441	27
442	22
443	17
444	20
445	19
446	25
447	21
448	16
449	25
450	19
451	14
452	25
453	24
454	20
455	26
456	16
457	15
458	22
459	17
460	21
461	17
462	21
463	23
464	13
465	19
466	29
467	18
468	15
469	28
470	21
471	16
472	22
473	26
474	20
475	23
476	28
477	27
478	29
479	20
480	29
481	21
482	22
483	30
484	26
485	23
486	22
487	21
488	20
489	34
490	28
491	28
492	31
493	27
494	34
495	38
496	38
497	28
498	28
499	35
500	32
501	24
502	28
503	32
504	32
505	30
506	36
507	31
508	33
509	27
510	25
511	34
512	35
513	25
514	26
515	35
516	34
517	31
518	28
519	22
520	33
521	39
522	32
523	26
524	45
525	35
526	29
527	37
528	23
529	33
530	34
531	34
532	36
533	33
